id,descripcion
01,"GENERALES"
02,"PARTE FRONTAL"
03,"LADO DERECHO"
04,"LADO IZQUIERDO"
05,"PISO"
06,"TECHO INTERIOR/EXTERIOR"
07,"PUERTAS INTERIORES/EXTERIORES"
11,"Áreas aledañas a remaches o bisagras presentan golpes, pintura nueva o forcejeo."
12,"Adhesivo o pegante nuevo en uniones de láminas."
13,"De acuerdo al Test de Luz, se percibe filtración de luz."
14,"El contenedor presenta etiquetas IMO."
15,"La lámina inferior de protección de entrada es diferente a 50cm de largo."
16,"Las barras, manijas y orificios de cierre está en mal estado."
17,"Longitud interna, alto, ancho, largo difieren con Standard."
18,"Los empaques y/o cauchos están malas condiciones."
19,"Los empaques y/o cauchos permiten la filtración de luz dentro del contenedor."
20,"Los soportes de las vigas superiores están ocultos."
21,"Marcas o quemaduras recientes de soldadura Exterior."
22,"Marcas o quemaduras recientes de soldadura en el techo."
23,"Marcas o quemaduras recientes de soldadura interior."
24,"Marcas o quemaduras recientes de soldadura."
25,"Número de contenedor es diferente en uno o más de los 6 lados."
26,"Orificios de ventilación están a mayor distancia de 60 cm de la viga esquinera y a más de 5 cm de la viga lateral superior."
27,"Panel Interno presentan cintas, pegantes, grasas u oxidación."
28,"Paneles internos presentan cintas, pegantes, grasas u oxidacion."
29,"Pintura nueva en partes, parches o golpes exteriores."
30,"Pintura nueva en partes, parches o golpes interiores."
31,"Pintura nueva en partes, parches o golpes."
32,"Piso presenta hundimientos, áreas podridas o en mal estado."
33,"Piso presenta secciones desiguales, flojas o levantadas."
34,"Piso presenta suciedad, humedad, olores químicos, oxidación, residuos de grasa o aceites, clavos o tornillos incrustados y/o sobresalidos."
35,"Presentan roturas, daños o perforaciones en parte interna."
36,"Presentan roturas, daños o perforaciones."
37,"Remaches y tuercas en los seguros de las manijas presentan sobresalientes, deterioro, golpes, soldaduras."
38,"Se encuentra desnivelado y desalineado con las vigas inferiores."
39,"Sonido metálico disparejo en ondulaciones y láminas (como si tuviera algo dentro)."
40,"Techo ondulado o desnivelado."
41,"Techo presenta oxidación, residuos de grasa o aceites, roturas o perforaciones."
42,"Techo presenta paneles sucios, con cintas, pegantes, alambres, cuerdas, ganchos."
